object,granularLayers
Layers,2
layer,type,thickness,k,rho,cp,owc,a,b,c,hr,PI,D60,P200,P4,nodes
1,A-2-4,0.15,0.4,2000,712,7.3,4.757,2.881,0.8694,100,0,0.3225,5.2,95.3,50
2,A-5,1,0.329,1900,712,11.4,65.23,1.034,0.4994,500,5,0.1234,54.3,86.9,50
